species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
12121,B,A004,Tachybaptus ruficollis,,,r,6.0,14.0,p,P,G,C,B,C,A,ES6110001,2023,135,62,34.0
12000,B,A053,Anas platyrhynchos,,,w,101.0,101.0,i,,P,C,B,C,B,ES4240005,2023,135,63,36.0
24060,P,1398,Sphagnum pylaesii,,,p,,,,P,DD,C,B,C,B,ES1110005,2023,135,201,
11336,B,A080,Circaetus gallicus,,,r,,,,P,DD,C,B,C,C,ES0000250,2023,135,62,
23748,B,A773,Ardea alba,,,w,1.0,7.0,i,,G,D,,,,ES0000487,2023,135,63,36.0
11102,B,A244,Galerida cristata,,,p,3.0,6.0,p,,M,C,,C,,ES5130009,2023,135,201,34.0
11684,B,A236,Dryocopus martius,,,p,,,,C,DD,C,,C,,ES5130003,2023,135,201,
11230,M,1305,Rhinolophus euryale,,,p,300.0,700.0,i,C,M,B,C,C,A,ES4110115,2023,135,201,36.0
11691,B,A693,Puffinus mauretanicus,,,r,25.0,75.0,p,,P,C,B,C,B,ES0000517,2023,135,62,34.0
10944,B,A255,Anthus campestris,,,r,,,,P,DD,C,,C,,ES5130008,2023,135,62,
14050,B,A176,Larus melanocephalus,,,r,,1.0,p,,G,D,,,,ES0000485,2023,135,62,34.0
12316,B,A245,Galerida theklae,,,p,,,,P,,D,,,,ES0000469,2023,135,201,
11442,B,A137,Charadrius hiaticula,,,c,,,,C,DD,C,B,C,B,ES0000144,2023,135,202,
12378,B,A142,Vanellus vanellus,,,c,,,,P,DD,C,B,C,C,ES0000136,2023,135,202,
11592,B,A279,Oenanthe leucura,,,p,,,i,P,DD,D,,,,ES0000288,2023,135,201,36.0
11637,M,1355,Lutra lutra,,,p,2.0,2.0,grids1x1,,P,C,B,C,B,ES4320029,2023,135,201,22.0
12326,B,A233,Jynx torquilla,,,r,,,,R,DD,C,B,C,C,ES0000360,2023,135,62,
10922,B,A087,Buteo buteo,,,r,,,,P,DD,D,,,,ES6140004,2023,135,62,
10734,B,A243,Calandrella brachydactyla,,,p,,,,P,DD,D,,,,ES6160007,2023,135,201,
12121,B,A004,Tachybaptus ruficollis,,,w,,1.0,i,P,G,C,B,C,B,ES6120006,2023,135,63,36.0
33018,B,A889,Mareca strepera,,,c,,,,V,DD,D,,,,ES2110019,2023,135,202,
32209,B,A683,Phalacrocorax carbo carbo,,,w,,1.0,i,P,G,D,B,C,C,ES0000033,2023,135,63,36.0
12169,M,1310,Miniopterus schreibersii,,,p,,,,P,DD,C,B,C,B,ES6200034,2023,135,201,
11060,F,6168,Luciobarbus comizo,,,p,179.0,179.0,grids1x1,,P,C,B,C,C,ES4320077,2023,135,201,22.0
11592,B,A279,Oenanthe leucura,,,p,,,,P,DD,D,,,,ES6130002,2023,135,201,
11484,B,A168,Actitis hypoleucos,,,c,,,,P,DD,D,,,,ES0000046,2023,135,202,
12048,B,A084,Circus pygargus,,,r,,,,P,DD,D,,,,ES0000399,2023,135,62,
12166,B,A295,Acrocephalus schoenobaenus,,,c,,,,C,DD,C,B,C,C,ES0000209,2023,135,202,
79300,I,1092,Austropotamobius pallipes,,,p,1.0,1.0,localities,,G,C,C,A,B,ES2420039,2023,135,201,35.0
11733,F,5292,Parachondrostoma miegii,,,p,,19.0,grids1x1,,M,C,C,C,C,ES2430065,2023,135,201,22.0
11264,M,1304,Rhinolophus ferrumequinum,,,c,,,,C,DD,C,C,C,B,ES4160043,2023,135,202,
12168,R,1259,Lacerta schreiberi,,,p,,,,P,DD,C,B,A,B,ES1140010,2023,135,201,
10820,M,1308,Barbastella barbastellus,,,c,,,,P,DD,D,,,,ES2410048,2023,135,202,
12059,M,1301,Galemys pyrenaicus,,1.0,p,,,,,,,,,,ES4180070,2023,135,201,
11230,M,1305,Rhinolophus euryale,,,c,5.0,339.0,i,,G,C,,,,ES5214004,2023,135,202,36.0
12107,B,A663,Phoenicopterus roseus,,,c,,,,C,DD,D,,,,ES0000275,2023,135,202,
11600,B,A156,Limosa limosa,,,c,,,,P,DD,C,B,C,B,ES0000289,2023,135,202,
12000,B,A053,Anas platyrhynchos,,,r,187.0,286.0,p,,P,C,B,C,B,ES4240018,2023,135,62,34.0
11803,M,1324,Myotis myotis,,,r,900.0,3900.0,i,,G,B,A,C,A,ES0000070,2023,135,62,36.0
33018,B,A889,Mareca strepera,,,w,311.0,756.0,i,C,G,B,B,C,B,ES0000191,2023,135,63,36.0
11024,B,A081,Circus aeruginosus,,,w,1.0,1.0,i,,G,C,,B,,ES5120017,2023,135,63,36.0
11336,B,A080,Circaetus gallicus,,,r,,,,P,DD,D,,,,ES0000151,2023,135,62,
11934,B,A208,Columba palumbus,,,r,34.0,39.0,p,,M,C,,C,,ES5120017,2023,135,62,34.0
11496,B,A025,Bubulcus ibis,,,w,,45.0,i,P,G,C,B,C,C,ES6160002,2023,135,63,36.0
11211,B,A232,Upupa epops,,,r,1001.0,10000.0,i,,G,C,C,C,C,ES0000014,2023,135,62,36.0
11336,B,A080,Circaetus gallicus,,,r,,,,R,DD,C,B,B,B,ES1200008,2023,135,62,
11264,M,1304,Rhinolophus ferrumequinum,,,w,100.0,100.0,i,,G,C,B,C,B,ES4320051,2023,135,63,36.0
11247,B,A032,Plegadis falcinellus,,,r,1.0,1.0,p,,G,D,B,C,B,ES0000450,2023,135,62,34.0
14060,B,A459,Larus cachinnans,,,c,,,,C,DD,D,,,,ES0000303,2023,135,202,
11115,I,1041,Oxygastra curtisii,,,p,2.0,2.0,grids10x10,P,P,C,,C,,ES5140003,2023,135,201,47.0
12169,M,1310,Miniopterus schreibersii,,,w,1.0,1.0,grids10x10,,P,C,B,C,B,ES4320079,2023,135,63,47.0
11959,B,A092,Hieraaetus pennatus,,,p,,,i,P,DD,C,B,C,B,ES0000306,2023,135,201,36.0
11206,M,1321,Myotis emarginatus,,,r,1.0,1.0,i,P,G,D,,,,ES5233011,2023,135,62,36.0
14079,B,A193,Sterna hirundo,,,c,,,,P,DD,D,,,,ES0000501,2023,135,202,
11262,B,A147,Calidris ferruginea,,,c,51.0,100.0,i,,G,B,A,C,A,ES0000087,2023,135,202,36.0
11097,B,A052,Anas crecca,,,w,130.0,150.0,i,,G,D,,,,ES0000142,2023,135,63,36.0
11684,B,A236,Dryocopus martius,,,p,1.0,5.0,p,R,M,C,C,B,B,ES4130010,2023,135,201,34.0
11211,B,A232,Upupa epops,,,r,41.0,54.0,p,,M,C,,C,,ES5110009,2023,135,62,34.0
11733,F,5292,Parachondrostoma miegii,,,p,2.0,39.0,i,P,G,C,C,C,B,ES2110005,2023,135,201,36.0
11891,B,A207,Columba oenas,,,p,,,,R,DD,C,C,C,C,ES0000004,2023,135,201,
11735,B,A073,Milvus migrans,,,c,1001.0,10000.0,i,,G,B,B,C,C,ES6310001,2023,135,202,36.0
11737,B,A074,Milvus milvus,,,p,,1.0,p,V,G,C,C,C,B,ES0000004,2023,135,201,34.0
11959,B,A092,Hieraaetus pennatus,,,r,,,,P,,D,,,,ES0000446,2023,135,62,
24460,B,A419,Uria aalge ibericus,,1.0,p,,,,,DD,,,,,ES0000001,2023,135,201,
12326,B,A233,Jynx torquilla,,,r,,,,R,DD,C,B,C,C,ES0000357,2023,135,62,
11336,B,A080,Circaetus gallicus,,,r,,,,P,DD,C,B,C,B,ES5233044,2023,135,62,
11229,B,A224,Caprimulgus europaeus,,,r,,,,R,DD,C,B,C,C,ES4130035,2023,135,62,
11313,B,A078,Gyps fulvus,,,p,,,,R,DD,C,C,C,C,ES4120028,2023,135,201,
14001,B,A005,Podiceps cristatus,,,w,1.0,5.0,i,,G,C,C,C,C,ES0000410,2023,135,63,36.0
10820,M,1308,Barbastella barbastellus,,,p,4.0,6.0,grids10x10,P,M,B,B,C,B,ES5140011,2023,135,201,47.0
