ID_Ruta,CUADRICULA
1901,30SWH31
1901,30SWH21
1901,30SWH32
1958,30SWH31
1958,30SWH21
1958,30SWH32
2235,29SQC01
2235,29SPC91
2264,29SQC30
2264,29SQC20
2264,29SQC21
2348,29SPC91
2348,29SPC92
2348,29SPC82
2443,30SWH43
2443,30SWH33
2443,30SWH34
2493,29SPC82
2493,29SPC72
3095,30SUH08
3137,30SWH16
3137,30SWH17
3137,30SWH07
3141,30SWH16
3141,30SWH17
3294,30SWH43
3294,30SWH44
3801,30SWH35
3805,30SWH44
3805,30SWH34
4393,29SQC11
4576,30STH53
4576,30STH42
4576,30STH43
251,30TXM03
251,30TWM93
251,30TXM04
255,30TXL17
255,30TXL18
340,30TYN13
341,30TXM96
341,30TXM84
341,30TXM95
341,30TXM85
342,30TYM31
342,30TYM21
343,30TYM21
344,30TXK56
345,30TXK56
346,30TXK56
348,30TYM47
348,30TYM37
348,30TYM48
348,30TYM38
372,30TXM88
372,30TXM89
373,30TXM88
374,30TXM98
374,30TXM88
374,30TXM99
374,30TXM89
375,30TXM98
376,30TYM18
376,30TYM08
377,30TYM08
378,30TYM08
379,30TYM28
379,30TYM18
380,30TYM18
381,30TYM27
381,30TYM28
382,30TYM27
383,30TYM28
384,30TYM36
384,30TYM37
384,30TYM27
385,30TYM27
386,30TYM47
386,30TYM37
387,30TYM16
387,30TYM06
388,30TYM07
388,30TYM06
454,30TXK37
454,30TXK27
454,30TXK17
455,30TXK27
497,30TYM16
518,30TYM47
518,30TYM48
518,31TBG57
519,30TYM47
544,30TYL27
544,30TYL17
545,30TYL27
545,30TYL28
546,30TYL27
546,30TYL17
546,30TYL28
546,30TYL18
549,30TYL46
549,30TYL47
550,30TYL36
551,30TYL36
551,30TYL47
551,30TYL37
551,30TYL27
552,30TYL18
552,30TYL19
552,30TYL08
553,30TYL08
554,30TYL18
554,30TYL08
554,30TYL09
555,30TYL18
555,30TYL19
555,30TYL09
556,30TYL09
556,30TYM00
556,30TXM90
556,30TXM80
557,30TXM80
557,30TXM70
557,30TXM81
557,30TXM71
558,30TXM71
559,30TXM71
560,30TXM71
560,30TXM61
